Product_ID,Product Name,Category,Order Year,Stock,Release Date
55,Animal Costume Tiger for Kids,COST-M,2020,10,9/24/2018
56,Muscle Thor Costume for Kids with Mask and Cape,COST-M,2020,10,2/11/2019
57,Squid Game Masks for Kids,MASK,2020,10,12/17/2018
58,[ Adult ] Superman Costume with Cape,COST-M,2020,10,12/17/2018
59,Squid Game Masks for Adult,COST-M,2020,10,4/29/2019
60,Cars Brief for Boy (3-in-1 or per peice),COST-M,2020,10,4/29/2019
61,Spider-man Onesie Overall for Baby (Ages 6-24 months),COST-M,2020,10,4/29/2019
62,Transformers Bumblebee Costume for Kids with mask,COST-M,2020,10,4/29/2019
63,Captain America Pajamas for Boy (Ages 6 to 12),COST-M,2020,10,4/29/2019
64,Spider-man Costume for Kids (Cotton),COST-M,2020,10,2/25/2019
65,Animal Costume Dragon for Kids,COST-M,2020,10,2/25/2019
66,Animal Costume Zebra for Kids,COST-M,2020,10,2/25/2019
67,Animal Costume Ox for Kids,COST-M,2020,10,2/25/2019
68,Muscle Thor Costume for Kids,COST-M,2020,10,2/25/2019
69,Animal Costume Rabbit for Kids,COST-M,2020,10,2/25/2019
70,Bumblebee Swimsuit Costume for Kids Yellow,COST-M,2020,10,2/25/2019
71,Captain America Shield Toy for Kids PVC Plastic,COST-M,2020,10,2/25/2019
72,Dog Costume for Kids Yellow,COST-M,2020,10,9/24/2018
73,Animal Costume Duck for Kids,COST-M,2020,10,11/23/2018
74,Thor Costume for Kids,COST-M,2020,10,11/23/2018
75,Ben 10 Pajamas for Boys (Ages 4 to 10),COST-M,2020,10,2/11/2019
76,Chinese Dress for Kids (Cheongsam),DRSS,2020,10,2/11/2019
